store_id,sku_id,total_demand,total_fulfilled,total_lost_units,lost_revenue,unit_price,citywide_demand,demand_share,citywide_budget,recommended_allocation,current_allocation,allocation_delta,new_lost_units,recovered_units,recovered_revenue,sku_name,category
LKO02,SKU011,1393,881,512,56320,110,10311,0.13509843856076034,9009,1217.0,881,336.0,176.0,336.0,36960.0,Real Fruit Juice 1L,Beverages
LKO08,SKU002,2392,863,1529,88682,58,18068,0.13238875359752048,10881,1441.0,863,578.0,951.0,578.0,33524.0,Amul Butter 100g,Dairy
LKO02,SKU006,4153,879,3274,147330,45,30812,0.1347851486433857,11412,1538.0,879,659.0,2615.0,659.0,29655.0,Banana Dozen,Fruits & Veg
LKO08,SKU003,2752,935,1817,87216,48,20626,0.13342383399592747,11559,1542.0,935,607.0,1210.0,607.0,29136.0,Brown Eggs (6 pcs),Dairy
LKO01,SKU002,2400,943,1457,84506,58,18068,0.13283152534868276,10881,1445.0,943,502.0,955.0,502.0,29116.0,Amul Butter 100g,Dairy
LKO01,SKU011,1393,957,436,47960,110,10311,0.13509843856076034,9009,1217.0,957,260.0,176.0,260.0,28600.0,Real Fruit Juice 1L,Beverages
LKO01,SKU003,2768,990,1778,85344,48,20626,0.13419955396102007,11559,1551.0,990,561.0,1217.0,561.0,26928.0,Brown Eggs (6 pcs),Dairy
LKO01,SKU013,1227,937,290,37700,130,9267,0.13240530916154095,8568,1134.0,937,197.0,93.0,197.0,25610.0,Surf Excel 1kg,Household
LKO02,SKU002,2322,961,1361,78938,58,18068,0.12851450077485058,10881,1398.0,961,437.0,924.0,437.0,25346.0,Amul Butter 100g,Dairy
LKO01,SKU006,4101,963,3138,141210,45,30812,0.13309749448266908,11412,1519.0,963,556.0,2582.0,556.0,25020.0,Banana Dozen,Fruits & Veg
LKO02,SKU003,2691,989,1702,81696,48,20626,0.13046640162901194,11559,1508.0,989,519.0,1183.0,519.0,24912.0,Brown Eggs (6 pcs),Dairy
LKO08,SKU010,3142,903,2239,89560,40,23390,0.13433091064557504,11311,1519.0,903,616.0,1623.0,616.0,24640.0,Coca-Cola 750ml,Beverages
LKO08,SKU006,4013,971,3042,136890,45,30812,0.1302414643645333,11412,1486.0,971,515.0,2527.0,515.0,23175.0,Banana Dozen,Fruits & Veg
LKO02,SKU010,3117,960,2157,86280,40,23390,0.13326207781103036,11311,1507.0,960,547.0,1610.0,547.0,21880.0,Coca-Cola 750ml,Beverages
LKO02,SKU005,5199,948,4251,148785,35,38816,0.13393961253091508,11694,1566.0,948,618.0,3633.0,618.0,21630.0,Onion 1kg,Fruits & Veg
LKO01,SKU010,3081,977,2104,84160,40,23390,0.13172295852928603,11311,1490.0,977,513.0,1591.0,513.0,20520.0,Coca-Cola 750ml,Beverages
LKO08,SKU005,5191,979,4212,147420,35,38816,0.13373351195383348,11694,1564.0,979,585.0,3627.0,585.0,20475.0,Onion 1kg,Fruits & Veg
LKO01,SKU005,5158,976,4182,146370,35,38816,0.1328833470733718,11694,1554.0,976,578.0,3604.0,578.0,20230.0,Onion 1kg,Fruits & Veg
LKO08,SKU011,1357,1003,354,38940,110,10311,0.13160702162738822,9009,1186.0,1003,183.0,171.0,183.0,20130.0,Real Fruit Juice 1L,Beverages
LKO02,SKU001,6246,882,5364,144828,27,46616,0.13398833018706025,11621,1557.0,882,675.0,4689.0,675.0,18225.0,Amul Toned Milk 500ml,Dairy
LKO02,SKU013,1226,1003,223,28990,130,9267,0.13229739937412324,8568,1134.0,1003,131.0,92.0,131.0,17030.0,Surf Excel 1kg,Household
LKO01,SKU001,6308,959,5349,144423,27,46616,0.1353183456324009,11621,1573.0,959,614.0,4735.0,614.0,16578.0,Amul Toned Milk 500ml,Dairy
LKO08,SKU009,2124,914,1210,36300,30,15697,0.13531248009173727,10551,1428.0,914,514.0,696.0,514.0,15420.0,Britannia Good Day 100g,Snacks
LKO02,SKU009,2117,952,1165,34950,30,15697,0.1348665350066892,10551,1423.0,952,471.0,694.0,471.0,14130.0,Britannia Good Day 100g,Snacks
LKO08,SKU001,6138,1025,5113,138051,27,46616,0.1316715290887249,11621,1530.0,1025,505.0,4608.0,505.0,13635.0,Amul Toned Milk 500ml,Dairy
LKO01,SKU009,2107,966,1141,34230,30,15697,0.1342294705994776,10551,1416.0,966,450.0,691.0,450.0,13500.0,Britannia Good Day 100g,Snacks
LKO08,SKU004,5898,946,4952,108944,22,44163,0.1335507098702534,11593,1548.0,946,602.0,4350.0,602.0,13244.0,Tomato 500g,Fruits & Veg
LKO01,SKU004,5868,968,4900,107800,22,44163,0.13287140819237825,11593,1540.0,968,572.0,4328.0,572.0,12584.0,Tomato 500g,Fruits & Veg
LKO02,SKU004,5908,986,4922,108284,22,44163,0.13377714376287841,11593,1551.0,986,565.0,4357.0,565.0,12430.0,Tomato 500g,Fruits & Veg
LKO02,SKU007,3948,952,2996,59920,20,28654,0.13778181056746003,11404,1571.0,952,619.0,2377.0,619.0,12380.0,Lays Classic 52g,Snacks
LKO08,SKU012,3455,943,2512,50240,20,26044,0.1326601136538166,11760,1560.0,943,617.0,1895.0,617.0,12340.0,Bisleri Water 1L,Beverages
LKO08,SKU013,1184,1002,182,23660,130,9267,0.12776518830257905,8568,1095.0,1002,93.0,89.0,93.0,12090.0,Surf Excel 1kg,Household
LKO02,SKU012,3459,987,2472,49440,20,26044,0.13281369989248965,11760,1562.0,987,575.0,1897.0,575.0,11500.0,Bisleri Water 1L,Beverages
LKO08,SKU007,3870,971,2899,57980,20,28654,0.1350596775319327,11404,1540.0,971,569.0,2330.0,569.0,11380.0,Lays Classic 52g,Snacks
LKO01,SKU012,3403,983,2420,48400,20,26044,0.13066349255106743,11760,1537.0,983,554.0,1866.0,554.0,11080.0,Bisleri Water 1L,Beverages
LKO01,SKU007,3782,973,2809,56180,20,28654,0.13198855308159418,11404,1505.0,973,532.0,2277.0,532.0,10640.0,Lays Classic 52g,Snacks
LKO08,SKU008,4642,946,3696,51744,14,33954,0.13671437827649172,11406,1559.0,946,613.0,3083.0,613.0,8582.0,Maggi Noodles 70g,Snacks
LKO02,SKU008,4550,937,3613,50582,14,33954,0.13400483006420452,11406,1528.0,937,591.0,3022.0,591.0,8274.0,Maggi Noodles 70g,Snacks
LKO01,SKU014,1062,873,189,10395,55,7780,0.1365038560411311,7433,1015.0,873,142.0,47.0,142.0,7810.0,Colgate Toothpaste 100g,Personal Care
LKO01,SKU008,4485,956,3529,49406,14,33954,0.1320904753490016,11406,1507.0,956,551.0,2978.0,551.0,7714.0,Maggi Noodles 70g,Snacks
LKO08,SKU014,1047,906,141,7755,55,7780,0.13457583547557841,7433,1000.0,906,94.0,47.0,94.0,5170.0,Colgate Toothpaste 100g,Personal Care
LKO12,SKU005,3239,893,2346,82110,35,38816,0.08344497114591921,11694,976.0,893,83.0,2263.0,83.0,2905.0,Onion 1kg,Fruits & Veg
LKO04,SKU002,1537,880,657,38106,58,18068,0.08506752269205224,10881,926.0,880,46.0,611.0,46.0,2668.0,Amul Butter 100g,Dairy
LKO05,SKU001,4052,914,3138,84726,27,46616,0.08692294491161832,11621,1010.0,914,96.0,3042.0,96.0,2592.0,Amul Toned Milk 500ml,Dairy
LKO05,SKU012,2125,840,1285,25700,20,26044,0.08159268929503917,11760,960.0,840,120.0,1165.0,120.0,2400.0,Bisleri Water 1L,Beverages
LKO05,SKU005,3182,899,2283,79905,35,38816,0.0819765045342127,11694,959.0,899,60.0,2223.0,60.0,2100.0,Onion 1kg,Fruits & Veg
LKO07,SKU012,2234,922,1312,26240,20,26044,0.08577791429887882,11760,1009.0,922,87.0,1225.0,87.0,1740.0,Bisleri Water 1L,Beverages
LKO04,SKU007,2423,877,1546,30920,20,28654,0.08456061980875271,11404,964.0,877,87.0,1459.0,87.0,1740.0,Lays Classic 52g,Snacks
LKO04,SKU005,3372,972,2400,84000,35,38816,0.08687139323990108,11694,1016.0,972,44.0,2356.0,44.0,1540.0,Onion 1kg,Fruits & Veg
LKO12,SKU003,1718,932,786,37728,48,20626,0.0832929312518181,11559,963.0,932,31.0,755.0,31.0,1488.0,Brown Eggs (6 pcs),Dairy
LKO05,SKU007,2317,850,1467,29340,20,28654,0.08086131081175403,11404,922.0,850,72.0,1395.0,72.0,1440.0,Lays Classic 52g,Snacks
LKO03,SKU006,2538,909,1629,73305,45,30812,0.08237050499805271,11412,940.0,909,31.0,1598.0,31.0,1395.0,Banana Dozen,Fruits & Veg
