order_id,timestamp,store_id,sku_id,demand_qty,fulfilled_qty,lost_qty,stockout_flag,unit_price,revenue,lost_revenue
ORD0000001,2026-08-01 00:00:00,LKO01,SKU001,3,3,0,0,27,81,0
ORD0000002,2026-08-01 00:00:00,LKO01,SKU002,2,2,0,0,58,116,0
ORD0000003,2026-08-01 00:00:00,LKO01,SKU004,3,3,0,0,22,66,0
ORD0000004,2026-08-01 00:00:00,LKO01,SKU005,1,1,0,0,35,35,0
ORD0000005,2026-08-01 00:00:00,LKO01,SKU006,3,3,0,0,45,135,0
ORD0000006,2026-08-01 00:00:00,LKO01,SKU007,1,1,0,0,20,20,0
ORD0000007,2026-08-01 00:00:00,LKO01,SKU008,2,2,0,0,14,28,0
ORD0000008,2026-08-01 00:00:00,LKO01,SKU009,1,1,0,0,30,30,0
ORD0000009,2026-08-01 00:00:00,LKO01,SKU010,2,2,0,0,40,80,0
ORD0000010,2026-08-01 00:00:00,LKO01,SKU011,2,2,0,0,110,220,0
ORD0000011,2026-08-01 00:00:00,LKO01,SKU012,1,1,0,0,20,20,0
ORD0000012,2026-08-01 00:00:00,LKO01,SKU013,2,2,0,0,130,260,0
ORD0000013,2026-08-01 00:00:00,LKO01,SKU016,1,1,0,0,1499,1499,0
ORD0000014,2026-08-01 01:00:00,LKO01,SKU004,1,1,0,0,22,22,0
ORD0000015,2026-08-01 01:00:00,LKO01,SKU007,2,2,0,0,20,40,0
ORD0000016,2026-08-01 01:00:00,LKO01,SKU008,4,4,0,0,14,56,0
ORD0000017,2026-08-01 01:00:00,LKO01,SKU012,1,1,0,0,20,20,0
ORD0000018,2026-08-01 01:00:00,LKO01,SKU016,1,1,0,0,1499,1499,0
ORD0000019,2026-08-01 02:00:00,LKO01,SKU007,1,1,0,0,20,20,0
ORD0000020,2026-08-01 02:00:00,LKO01,SKU014,1,1,0,0,55,55,0
ORD0000021,2026-08-01 03:00:00,LKO01,SKU005,1,1,0,0,35,35,0
ORD0000022,2026-08-01 03:00:00,LKO01,SKU008,1,1,0,0,14,14,0
ORD0000023,2026-08-01 04:00:00,LKO01,SKU011,1,1,0,0,110,110,0
ORD0000024,2026-08-01 04:00:00,LKO01,SKU012,1,1,0,0,20,20,0
ORD0000025,2026-08-01 05:00:00,LKO01,SKU001,1,1,0,0,27,27,0
ORD0000026,2026-08-01 05:00:00,LKO01,SKU005,1,1,0,0,35,35,0
ORD0000027,2026-08-01 05:00:00,LKO01,SKU006,1,1,0,0,45,45,0
ORD0000028,2026-08-01 05:00:00,LKO01,SKU007,2,2,0,0,20,40,0
ORD0000029,2026-08-01 05:00:00,LKO01,SKU008,1,1,0,0,14,14,0
ORD0000030,2026-08-01 05:00:00,LKO01,SKU009,1,1,0,0,30,30,0
ORD0000031,2026-08-01 05:00:00,LKO01,SKU012,1,1,0,0,20,20,0
ORD0000032,2026-08-01 05:00:00,LKO01,SKU014,1,1,0,0,55,55,0
ORD0000033,2026-08-01 06:00:00,LKO01,SKU001,7,7,0,0,27,189,0
ORD0000034,2026-08-01 06:00:00,LKO01,SKU002,5,5,0,0,58,290,0
ORD0000035,2026-08-01 06:00:00,LKO01,SKU003,9,9,0,0,48,432,0
ORD0000036,2026-08-01 06:00:00,LKO01,SKU004,8,8,0,0,22,176,0
ORD0000037,2026-08-01 06:00:00,LKO01,SKU005,2,2,0,0,35,70,0
ORD0000038,2026-08-01 06:00:00,LKO01,SKU006,6,6,0,0,45,270,0
ORD0000039,2026-08-01 06:00:00,LKO01,SKU007,6,6,0,0,20,120,0
ORD0000040,2026-08-01 06:00:00,LKO01,SKU008,7,7,0,0,14,98,0
ORD0000041,2026-08-01 06:00:00,LKO01,SKU009,4,4,0,0,30,120,0
ORD0000042,2026-08-01 06:00:00,LKO01,SKU010,5,5,0,0,40,200,0
ORD0000043,2026-08-01 06:00:00,LKO01,SKU011,1,1,0,0,110,110,0
ORD0000044,2026-08-01 06:00:00,LKO01,SKU012,3,3,0,0,20,60,0
ORD0000045,2026-08-01 06:00:00,LKO01,SKU013,2,2,0,0,130,260,0
ORD0000046,2026-08-01 06:00:00,LKO01,SKU015,1,1,0,0,65,65,0
ORD0000047,2026-08-01 07:00:00,LKO01,SKU001,17,17,0,0,27,459,0
ORD0000048,2026-08-01 07:00:00,LKO01,SKU002,6,6,0,0,58,348,0
ORD0000049,2026-08-01 07:00:00,LKO01,SKU003,2,2,0,0,48,96,0
ORD0000050,2026-08-01 07:00:00,LKO01,SKU004,6,6,0,0,22,132,0
ORD0000051,2026-08-01 07:00:00,LKO01,SKU005,10,10,0,0,35,350,0
ORD0000052,2026-08-01 07:00:00,LKO01,SKU006,7,7,0,0,45,315,0
ORD0000053,2026-08-01 07:00:00,LKO01,SKU007,10,10,0,0,20,200,0
ORD0000054,2026-08-01 07:00:00,LKO01,SKU008,8,8,0,0,14,112,0
ORD0000055,2026-08-01 07:00:00,LKO01,SKU009,3,3,0,0,30,90,0
ORD0000056,2026-08-01 07:00:00,LKO01,SKU010,6,6,0,0,40,240,0
ORD0000057,2026-08-01 07:00:00,LKO01,SKU011,4,4,0,0,110,440,0
ORD0000058,2026-08-01 07:00:00,LKO01,SKU012,4,4,0,0,20,80,0
ORD0000059,2026-08-01 07:00:00,LKO01,SKU013,1,1,0,0,130,130,0
ORD0000060,2026-08-01 07:00:00,LKO01,SKU014,2,2,0,0,55,110,0
ORD0000061,2026-08-01 07:00:00,LKO01,SKU015,3,3,0,0,65,195,0
ORD0000062,2026-08-01 07:00:00,LKO01,SKU016,1,1,0,0,1499,1499,0
ORD0000063,2026-08-01 07:00:00,LKO01,SKU017,2,2,0,0,299,598,0
ORD0000064,2026-08-01 08:00:00,LKO01,SKU001,28,28,0,0,27,756,0
ORD0000065,2026-08-01 08:00:00,LKO01,SKU002,16,16,0,0,58,928,0
ORD0000066,2026-08-01 08:00:00,LKO01,SKU003,6,6,0,0,48,288,0
ORD0000067,2026-08-01 08:00:00,LKO01,SKU004,17,17,0,0,22,374,0
ORD0000068,2026-08-01 08:00:00,LKO01,SKU005,14,14,0,0,35,490,0
ORD0000069,2026-08-01 08:00:00,LKO01,SKU006,13,13,0,0,45,585,0
ORD0000070,2026-08-01 08:00:00,LKO01,SKU007,11,11,0,0,20,220,0
ORD0000071,2026-08-01 08:00:00,LKO01,SKU008,15,15,0,0,14,210,0
ORD0000072,2026-08-01 08:00:00,LKO01,SKU009,6,6,0,0,30,180,0
ORD0000073,2026-08-01 08:00:00,LKO01,SKU010,8,8,0,0,40,320,0
ORD0000074,2026-08-01 08:00:00,LKO01,SKU011,7,7,0,0,110,770,0
ORD0000075,2026-08-01 08:00:00,LKO01,SKU012,11,11,0,0,20,220,0
ORD0000076,2026-08-01 08:00:00,LKO01,SKU013,6,6,0,0,130,780,0
ORD0000077,2026-08-01 08:00:00,LKO01,SKU014,9,9,0,0,55,495,0
ORD0000078,2026-08-01 08:00:00,LKO01,SKU015,2,2,0,0,65,130,0
ORD0000079,2026-08-01 08:00:00,LKO01,SKU017,1,1,0,0,299,299,0
ORD0000080,2026-08-01 08:00:00,LKO01,SKU018,2,2,0,0,40,80,0
ORD0000081,2026-08-01 09:00:00,LKO01,SKU001,24,24,0,0,27,648,0
ORD0000082,2026-08-01 09:00:00,LKO01,SKU002,7,7,0,0,58,406,0
ORD0000083,2026-08-01 09:00:00,LKO01,SKU003,11,11,0,0,48,528,0
ORD0000084,2026-08-01 09:00:00,LKO01,SKU004,17,17,0,0,22,374,0
ORD0000085,2026-08-01 09:00:00,LKO01,SKU005,15,15,0,0,35,525,0
ORD0000086,2026-08-01 09:00:00,LKO01,SKU006,17,17,0,0,45,765,0
ORD0000087,2026-08-01 09:00:00,LKO01,SKU007,12,12,0,0,20,240,0
ORD0000088,2026-08-01 09:00:00,LKO01,SKU008,8,8,0,0,14,112,0
ORD0000089,2026-08-01 09:00:00,LKO01,SKU009,7,7,0,0,30,210,0
ORD0000090,2026-08-01 09:00:00,LKO01,SKU010,6,6,0,0,40,240,0
ORD0000091,2026-08-01 09:00:00,LKO01,SKU011,3,3,0,0,110,330,0
ORD0000092,2026-08-01 09:00:00,LKO01,SKU012,6,6,0,0,20,120,0
ORD0000093,2026-08-01 09:00:00,LKO01,SKU013,4,4,0,0,130,520,0
ORD0000094,2026-08-01 09:00:00,LKO01,SKU014,3,3,0,0,55,165,0
ORD0000095,2026-08-01 09:00:00,LKO01,SKU015,5,5,0,0,65,325,0
ORD0000096,2026-08-01 09:00:00,LKO01,SKU016,1,1,0,0,1499,1499,0
ORD0000097,2026-08-01 10:00:00,LKO01,SKU001,8,8,0,0,27,216,0
ORD0000098,2026-08-01 10:00:00,LKO01,SKU002,7,7,0,0,58,406,0
ORD0000099,2026-08-01 10:00:00,LKO01,SKU003,4,4,0,0,48,192,0
ORD0000100,2026-08-01 10:00:00,LKO01,SKU004,9,9,0,0,22,198,0
ORD0000101,2026-08-01 10:00:00,LKO01,SKU005,13,13,0,0,35,455,0
ORD0000102,2026-08-01 10:00:00,LKO01,SKU006,8,8,0,0,45,360,0
ORD0000103,2026-08-01 10:00:00,LKO01,SKU007,14,14,0,0,20,280,0
ORD0000104,2026-08-01 10:00:00,LKO01,SKU008,11,11,0,0,14,154,0
ORD0000105,2026-08-01 10:00:00,LKO01,SKU009,4,4,0,0,30,120,0
ORD0000106,2026-08-01 10:00:00,LKO01,SKU010,9,9,0,0,40,360,0
ORD0000107,2026-08-01 10:00:00,LKO01,SKU011,4,4,0,0,110,440,0
ORD0000108,2026-08-01 10:00:00,LKO01,SKU012,6,6,0,0,20,120,0
ORD0000109,2026-08-01 10:00:00,LKO01,SKU013,2,2,0,0,130,260,0
ORD0000110,2026-08-01 10:00:00,LKO01,SKU014,3,3,0,0,55,165,0
ORD0000111,2026-08-01 10:00:00,LKO01,SKU015,1,1,0,0,65,65,0
ORD0000112,2026-08-01 10:00:00,LKO01,SKU016,1,1,0,0,1499,1499,0
ORD0000113,2026-08-01 10:00:00,LKO01,SKU017,3,3,0,0,299,897,0
ORD0000114,2026-08-01 11:00:00,LKO01,SKU001,14,14,0,0,27,378,0
ORD0000115,2026-08-01 11:00:00,LKO01,SKU002,2,2,0,0,58,116,0
ORD0000116,2026-08-01 11:00:00,LKO01,SKU003,4,4,0,0,48,192,0
ORD0000117,2026-08-01 11:00:00,LKO01,SKU004,14,14,0,0,22,308,0
ORD0000118,2026-08-01 11:00:00,LKO01,SKU005,8,8,0,0,35,280,0
ORD0000119,2026-08-01 11:00:00,LKO01,SKU006,10,10,0,0,45,450,0
ORD0000120,2026-08-01 11:00:00,LKO01,SKU007,7,7,0,0,20,140,0
ORD0000121,2026-08-01 11:00:00,LKO01,SKU008,6,6,0,0,14,84,0
ORD0000122,2026-08-01 11:00:00,LKO01,SKU009,2,2,0,0,30,60,0
ORD0000123,2026-08-01 11:00:00,LKO01,SKU010,5,5,0,0,40,200,0
ORD0000124,2026-08-01 11:00:00,LKO01,SKU011,6,6,0,0,110,660,0
ORD0000125,2026-08-01 11:00:00,LKO01,SKU012,9,9,0,0,20,180,0
ORD0000126,2026-08-01 11:00:00,LKO01,SKU013,3,3,0,0,130,390,0
ORD0000127,2026-08-01 11:00:00,LKO01,SKU014,2,2,0,0,55,110,0
ORD0000128,2026-08-01 11:00:00,LKO01,SKU015,1,1,0,0,65,65,0
ORD0000129,2026-08-01 12:00:00,LKO01,SKU001,15,4,11,1,27,108,297
ORD0000130,2026-08-01 12:00:00,LKO01,SKU002,8,8,0,0,58,464,0
ORD0000131,2026-08-01 12:00:00,LKO01,SKU003,9,9,0,0,48,432,0
ORD0000132,2026-08-01 12:00:00,LKO01,SKU004,12,12,0,0,22,264,0
ORD0000133,2026-08-01 12:00:00,LKO01,SKU005,15,15,0,0,35,525,0
ORD0000134,2026-08-01 12:00:00,LKO01,SKU006,11,11,0,0,45,495,0
